Code,Company Name
AALI,Astra Agro Lestari 
ABBA,Mahaka Media 
ABDA,Asuransi Bina Dana Arta 
ABMM,ABM Investama 
ACES,Aspirasi Hidup Indonesia 
ACST,Acset Indonusa 
ADES,Akasha Wira International 
ADHI,Adhi Karya (Persero) 
ADMF,Adira Dinamika Multi Finance T
ADMG,Polychem Indonesia 
ADRO,Alamtri Resources Indonesia
AGII,Samator Indo Gas 
AGRO,Bank Raya Indonesia 
AGRS,Bank IBK Indonesia 
AHAP,Asuransi Harta Aman Pratama
AIMS,Artha Mahiya Investama 
AISA,FKS Food Sejahtera 
AKKU,Anugerah Kagum Karya Utama 
AKPI,Argha Karya Prima Industry 
AKRA,AKR Corporindo 
AKSI,Mineral Sumberdaya Mandiri 
ALDO,Alkindo Naratama 
ALKA,Alakasa Industrindo 
ALMI,Alumindo Light Metal Industry 
ALTO,Tri Banyan Tirta 
AMAG,Asuransi Multi Artha Guna 
AMFG,Asahimas Flat Glass 
AMIN,Ateliers Mecaniques D Indonesi
AMRT,Sumber Alfaria Trijaya 
ANJT,Austindo Nusantara Jaya 
ANTM,Aneka Tambang 
APEX,Apexindo Pratama Duta 
APIC,Pacific Strategic Financial
APII,Arita Prima Indonesia 
APLI,Asiaplast Industries 
APLN,Agung Podomoro Land 
ARGO,Argo Pantes 
ARII,Atlas Resources 
ARNA,Arwana Citramulia 
ARTA,Arthavest 
ARTI,Ratu Prabu Energi 
ARTO,Bank Jago 
ASBI,Asuransi Bintang 
ASDM,Asuransi Dayin Mitra 
ASGR,Astra Graphia 
ASII,Astra International 
ASJT,Asuransi Jasa Tania 
ASMI,Asuransi Maximus Graha Persada
ASRI,Alam Sutera Realty 
ASRM,Asuransi Ramayana 
ASSA,Adi Sarana Armada 
ATIC,Anabatic Technologies 
AUTO,Astra Otoparts 
BABP,Bank MNC Internasional 
BACA,Bank Capital Indonesia 
BAJA,Saranacentral Bajatama 
BALI,Bali Towerindo Sentra 
BAPA,Bekasi Asri Pemula 
BATA,Sepatu Bata 
BAYU,Bayu Buana 
BBCA,Bank Central Asia 
BBHI,Allo Bank Indonesia 
BBKP,Bank KB Bukopin 
BCAP,MNC Kapital Indonesia 
BCIC,Bank JTrust Indonesia 
BCIP,Bumi Citra Permai 
BDMN,Bank Danamon Indonesia 
BEKS,Bank Pembangunan Daerah Banten
BEST,Bekasi Fajar Industrial Estate
BFIN,BFI Finance  Indonesia 
